,ID,Path,Captions
0,1000092795.jpg,/content/tmp/images/1000092795.jpg,<start> Two young guys with shaggy hair look at their hands while hanging out in the yard  <end>
1,1000092795.jpg,/content/tmp/images/1000092795.jpg,"<start> Two young , White males are outside near many bushes  <end>"
2,1000092795.jpg,/content/tmp/images/1000092795.jpg,<start> Two men in green shirts are standing in a yard  <end>
3,1000092795.jpg,/content/tmp/images/1000092795.jpg,<start> A man in a blue shirt standing in a garden  <end>
4,1000092795.jpg,/content/tmp/images/1000092795.jpg,<start> Two friends enjoy time spent together  <end>
5,10002456.jpg,/content/tmp/images/10002456.jpg,<start> Several men in hard hats are operating a giant pulley system  <end>
6,10002456.jpg,/content/tmp/images/10002456.jpg,<start> Workers look down from up above on a piece of equipment  <end>
7,10002456.jpg,/content/tmp/images/10002456.jpg,<start> Two men working on a machine wearing hard hats  <end>
8,10002456.jpg,/content/tmp/images/10002456.jpg,<start> Four men on top of a tall structure  <end>
9,10002456.jpg,/content/tmp/images/10002456.jpg,<start> Three men on a large rig  <end>
10,1000268201.jpg,/content/tmp/images/1000268201.jpg,<start> A child in a pink dress is climbing up a set of stairs in an entry way  <end>
11,1000268201.jpg,/content/tmp/images/1000268201.jpg,<start> A little girl in a pink dress going into a wooden cabin  <end>
12,1000268201.jpg,/content/tmp/images/1000268201.jpg,<start> A little girl climbing the stairs to her playhouse  <end>
13,1000268201.jpg,/content/tmp/images/1000268201.jpg,<start> A little girl climbing into a wooden playhouse  <end>
14,1000268201.jpg,/content/tmp/images/1000268201.jpg,<start> A girl going into a wooden building  <end>
15,1000344755.jpg,/content/tmp/images/1000344755.jpg,<start> Someone in a blue shirt and hat is standing on stair and leaning against a window  <end>
16,1000344755.jpg,/content/tmp/images/1000344755.jpg,<start> A man in a blue shirt is standing on a ladder cleaning a window  <end>
17,1000344755.jpg,/content/tmp/images/1000344755.jpg,<start> A man on a ladder cleans the window of a tall building  <end>
18,1000344755.jpg,/content/tmp/images/1000344755.jpg,<start> man in blue shirt and jeans on ladder cleaning windows <end>
19,1000344755.jpg,/content/tmp/images/1000344755.jpg,<start> a man on a ladder cleans a window <end>
20,1000366164.jpg,/content/tmp/images/1000366164.jpg,"<start> Two men , one in a gray shirt , one in a black shirt , standing near a stove  <end>"
21,1000366164.jpg,/content/tmp/images/1000366164.jpg,<start> Two guy cooking and joking around with the camera  <end>
22,1000366164.jpg,/content/tmp/images/1000366164.jpg,<start> Two men in a kitchen cooking food on a stove  <end>
23,1000366164.jpg,/content/tmp/images/1000366164.jpg,<start> Two men are at the stove preparing food  <end>
24,1000366164.jpg,/content/tmp/images/1000366164.jpg,<start> Two men are cooking a meal  <end>
25,1000523639.jpg,/content/tmp/images/1000523639.jpg,<start> Two people in the photo are playing the guitar and the other is poking at him  <end>
26,1000523639.jpg,/content/tmp/images/1000523639.jpg,<start> A man in green holds a guitar while the other man observes his shirt  <end>
27,1000523639.jpg,/content/tmp/images/1000523639.jpg,<start> A man is fixing the guitar players costume  <end>
28,1000523639.jpg,/content/tmp/images/1000523639.jpg,<start> a guy stitching up another man 's coat  <end>
29,1000523639.jpg,/content/tmp/images/1000523639.jpg,<start> the two boys playing guitar <end>
30,1000919630.jpg,/content/tmp/images/1000919630.jpg,<start> A man sits in a chair while holding a large stuffed animal of a lion  <end>
31,1000919630.jpg,/content/tmp/images/1000919630.jpg,<start> A man is sitting on a chair holding a large stuffed animal  <end>
32,1000919630.jpg,/content/tmp/images/1000919630.jpg,<start> A man completes the finishing touches on a stuffed lion  <end>
33,1000919630.jpg,/content/tmp/images/1000919630.jpg,<start> A man holds a large stuffed lion toy  <end>
34,1000919630.jpg,/content/tmp/images/1000919630.jpg,<start> A man is smiling at a stuffed lion <end>
35,10010052.jpg,/content/tmp/images/10010052.jpg,<start> A girl is on rollerskates talking on her cellphone standing in a parking lot  <end>
36,10010052.jpg,/content/tmp/images/10010052.jpg,<start> A trendy girl talking on her cellphone while gliding slowly down the street  <end>
37,10010052.jpg,/content/tmp/images/10010052.jpg,"<start> A young adult wearing rollerblades , holding a cellular phone to her ear  <end>"
38,10010052.jpg,/content/tmp/images/10010052.jpg,<start> there is a young girl on her cellphone while skating  <end>
39,10010052.jpg,/content/tmp/images/10010052.jpg,<start> Woman talking on cellphone and wearing rollerskates  <end>
40,1001465944.jpg,/content/tmp/images/1001465944.jpg,<start> An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman  <end>
41,1001465944.jpg,/content/tmp/images/1001465944.jpg,<start> Three people are standing outside near large pipes and a metal railing  <end>
42,1001465944.jpg,/content/tmp/images/1001465944.jpg,<start> A young woman walks past two young people dressed in hip black outfits  <end>
43,1001465944.jpg,/content/tmp/images/1001465944.jpg,<start> A woman with a large purse is walking by a gate  <end>
44,1001465944.jpg,/content/tmp/images/1001465944.jpg,<start> Several people standing outside a building  <end>
45,1001545525.jpg,/content/tmp/images/1001545525.jpg,<start> Two men in Germany jumping over a rail at the same time without shirts  <end>
46,1001545525.jpg,/content/tmp/images/1001545525.jpg,"<start> Two youths are jumping over a roadside railing , at night  <end>"
47,1001545525.jpg,/content/tmp/images/1001545525.jpg,<start> Boys dancing on poles in the middle of the night  <end>
48,1001545525.jpg,/content/tmp/images/1001545525.jpg,<start> Two men with no shirts jumping over a rail  <end>
49,1001545525.jpg,/content/tmp/images/1001545525.jpg,<start> two guys jumping over a gate together <end>
50,1001573224.jpg,/content/tmp/images/1001573224.jpg,<start> Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window  <end>
51,1001573224.jpg,/content/tmp/images/1001573224.jpg,<start> Ballet dancers in a studio practice jumping with wonderful form  <end>
52,1001573224.jpg,/content/tmp/images/1001573224.jpg,<start> Five girls are leaping simultaneously in a dance practice room  <end>
53,1001573224.jpg,/content/tmp/images/1001573224.jpg,<start> Five girls dancing and bending feet in ballet class  <end>
54,1001573224.jpg,/content/tmp/images/1001573224.jpg,<start> A ballet class of five girls jumping in sequence  <end>
55,1001633352.jpg,/content/tmp/images/1001633352.jpg,<start> Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs  <end>
56,1001633352.jpg,/content/tmp/images/1001633352.jpg,<start> Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them  <end>
57,1001633352.jpg,/content/tmp/images/1001633352.jpg,<start> Four guys three wearing hats one not are jumping at the top of a staircase  <end>
58,1001633352.jpg,/content/tmp/images/1001633352.jpg,<start> Four men with excited faces are jumping down from the top of stairs  <end>
59,1001633352.jpg,/content/tmp/images/1001633352.jpg,<start> Four people are jumping from the top of a flight of stairs  <end>
60,1001773457.jpg,/content/tmp/images/1001773457.jpg,<start> A black dog and a white dog with brown spots are staring at each other in the street  <end>
61,1001773457.jpg,/content/tmp/images/1001773457.jpg,<start> A black dog and a tri-colored dog playing with each other on the road  <end>
62,1001773457.jpg,/content/tmp/images/1001773457.jpg,<start> Two dogs of different breeds looking at each other on the road  <end>
63,1001773457.jpg,/content/tmp/images/1001773457.jpg,<start> Two dogs on pavement moving toward each other  <end>
64,1001773457.jpg,/content/tmp/images/1001773457.jpg,<start> A black dog and a spotted dog are fighting <end>
65,1001896054.jpg,/content/tmp/images/1001896054.jpg,<start> A man with reflective safety clothes and ear protection drives a John Deere tractor on a road  <end>
66,1001896054.jpg,/content/tmp/images/1001896054.jpg,"<start> John Deere tractors cruises down a street , while the driver wears easy to see clothing  <end>"
67,1001896054.jpg,/content/tmp/images/1001896054.jpg,<start> A man in a neon green and orange uniform is driving on a green tractor  <end>
68,1001896054.jpg,/content/tmp/images/1001896054.jpg,<start> A man in a tractor wearing headphones driving down a paved street  <end>
69,1001896054.jpg,/content/tmp/images/1001896054.jpg,<start> A man driving a John Deere tractor on a main road in the country  <end>
70,100197432.jpg,/content/tmp/images/100197432.jpg,<start> Some women are standing in front of a bus with buildings behind it  <end>
71,100197432.jpg,/content/tmp/images/100197432.jpg,<start> Several women stand on a city street with tall buildings  <end>
72,100197432.jpg,/content/tmp/images/100197432.jpg,<start> A group of women are standing in front of a bus  <end>
73,100197432.jpg,/content/tmp/images/100197432.jpg,<start> Several women wait outside in a city  <end>
